Year,Contributions,Interest,Negative Amo
2001,0,0,0
2002,60604,-99686.336,160290.336
2003,0,0,0
2004,31921,-2390.1088,34311.1088
2005,24377,36368.76,-11991.76
2006,48483,41339.72,7143.28
2007,24669,35831.56,-11162.56
2008,26764,29010.8,-2246.8
2009,30317.9,38821.80176,-8503.90176
2010,36290.545,66726.66008,-30436.11508
2011,26002.864,108849.2133,-82846.34926
2012,30928.383,128532.5357,-97604.15269
2013,41320.959,146162.5784,-104841.6194
2014,85067.636,81320.63412,3747.001876
2015,88533.119,124664.2922,-36131.17322
2016,107388.967,120418.2609,-13029.29395
2017,98978.291,120728.8056,-21750.51456
2018,116070.135,158353.5291,-42283.39413
2019,124974.893,154658.5245,-29683.63148
2020,133613.257,156537.2238,-22923.96683
2021,150366.239,162036.5231,-11670.28406
