year,arr,ava,mva
2001,0.08,0.073,-0.051
2002,0.08,0.014,-0.073
2003,0.08,-0.003,0.065
2004,0.08,0.013,0.134
2005,0.08,0.053,0.08
2006,0.08,0.093,0.09
2007,0.08,0.12,0.179
2008,0.08,0.076,-0.049
2009,0.08,-0.0016,-0.2085
2010,0.0775,-0.0118,0.1291
2011,0.0775,-0.0008,0.217
2012,0.0775,0.0328,0.0227
2013,0.0775,0.1191,0.1299
2014,0.0775,0.1321,0.1712
2015,0.0775,0.0963,0.046
2016,0.0775,0.0927,0.0202
2017,0.0765,0.0808,0.1193
2018,0.0765,0.0669,0.089
2019,0.0765,0.0706,0.0565
2020,0.0765,0.0711,0.0273
2021,0.0765,0.1076,0.278
