year,ava,mva,aal
2001,1115300000,1134178962,1008722500
2002,1150000000,1047390026,1103460900
2003,1166500000,1092838721,1188830500
2004,1196500000,1266962283,1272857600
2005,1236100000,1433006393,1361182100
2006,1314500000,1587240088,1314542900
2007,1503100000,1878924867,1609168600
2008,1609800000,1761223031,1737627000
2009,1617100000,1320003266,1901200800
2010,1621700000,1474184982,2208386100
2011,1650400000,1758056598,2339833200
2012,1627400000,1734039896,2501331473
2013,1680000000,1957670026,2176494800
2014,1895837000,2281582863,2938752200
2015,2094251400,2371710809,3052446500
2016,2265277800,2414895657,3396565467
2017,2633198800,2727835589,3726815087
2018,2868788800,2970180276,3959094976
2019,3081882000,3096731081,4269339965
2020,3260582800,3154351139,4717407497
2021,3369943759,3752753612,4795054158
