year,ava,mva,aal
2001,3043751000,2777337620,2589301000
2002,3076781000,2564499473,3077764000
2003,3033210000,2696362315,3295924500
2004,3047287000,3030678813,3514085000
2005,3179010000,3243418873,3719998000
2006,3459084000,3520982676,3919313000
2007,3825234000,4103437060,4201251000
2008,4065307000,3854176079,4504743000
2009,4002212000,2998359517,4792819000
2010,3889890000,3315905638,5241819000
2011,3800479000,3942107754,5410144000
2012,3816920000,3924212181,5661281000
2013,4139921000,4301832667,5160951000
2014,4595805000,4945675166,6177505000
2015,4926516000,5063937537,6470303000
2016,5247685000,5035858913,6787923000
2017,5514027000,5475372351,7578385000
2018,5705236000,5782558598,7730084000
2019,5903191000,5905584176,7957038000
2020,6099398000,5845474024,8234003000
2021,6514976000,7211389030,8534629000
