Year,Net Amo,Remaining UAL
2003,6596520.039,18597064.96
2004,17398851.64,61192352.36
2005,27176941.85,96026551.15
2006,37474658.47,126160111.5
2007,48653225.25,56646304.75
2008,62083888.58,66927787.42
2009,86856751.79,196623541.2
2010,136727610.5,443038545.5
2011,193589723.7,486890639.3
2012,249241053.3,613124977.7
2013,301366322.9,716242975.1
2014,338646505.2,689961939.8
2015,389221234.8,667718697.2
2016,422908098.8,695724385.2
2017,464336356.8,624116608.2
2018,514453387.8,575194486.2
2019,566142785.8,620143152.2
2020,626314259.8,818444727.2
